Аудиодорожки,Субтитры,Качество видео,Год производства,Страна,Жанр,Слоган,Режиссер,Сценарий,Продюсер,Оператор,Композитор,Художник,Монтаж,Бюджет,Маркетинг,Сборы в США,Сборы в мире,Зрители,Премьера в Росcии,Премьера в мире,Релиз на DVD,Возраст,Рейтинг MPAA,Время,Название фильма,Актеры,Оценка фильма,Релиз на Blu-ray,Сборы в России,Ре-релиз (РФ),Цифровой релиз,Директор фильма,4K доступно только на больших экранах,Платформа
"['Русский, Русский 5.1, Французский, Французский 5.1']",['Русские'],[],['2001'],"['Франция, Германия']","['мелодрама, комедия']",['«Она изменит вашу жизнь»'],['Жан-Пьер Жёне'],"['Гийом Лоран, Жан-Пьер Жёне']","['Клоди Оссар, Хельмут Бройер, Бастиан Грис, ...']",['Брюно Дельбоннель'],['Янн Тьерсен'],"['Алин Бонетто, Мэтью Жюно, Фолькер Шефер, ...']",['Эрве Шнайд'],['€10 000 000'],['€3 000 000'],['$33 225 499'],['+ $140 696 455 = $173 921 954'],['8.6 млн'],"['20 сентября 2001, «Централ Партнершип»']","['25 апреля 2001, ...']","['20 ноября 2001, «Videogram»']",['16+'],['R'],['122 мин. / 02:02'],"['Амели (2001)', ""Le Fabuleux destin d'Amélie Poulain16+""]","['Одри Тоту', 'Матьё Кассовиц', 'Рюфюс', 'Лорелла Кравотта', 'Серж Мерлен', 'Жамель Деббуз', 'Клотильд Молле', 'Клер Морье', 'Изабель Нанти', 'Доминик Пинон']",['8.0'],,,"['1 июля 2021, «Пионер»']","['22 июля 2021, «Веста»']",,,
['Русский'],['Нет'],,['1986'],['СССР'],"['триллер, криминал, детектив']",['—'],['Игорь Масленников'],"['Игорь Масленников, Артур Конан Дойл']",,['Юрий Векслер'],['Владимир Дашкевич'],"['Исаак Каплан, Нелли Лев, Аркадий Тигай']",['Людмила Образумова'],,,,,,,['1 апреля 1987'],"['16 февраля 2010, «Lizard Cinema Trade»']",['6+'],,['150 мин. / 02:30'],"['Шерлок Холмс и доктор Ватсон: Двадцатый век начинается (ТВ, 1986)', '6+']","['Василий Ливанов', 'Виталий Соломин', 'Борислав Брондуков', 'Иннокентий Смоктуновский', 'Рина Зелёная', 'Борис Клюев', 'Лариса Гузеева', 'Виктор Корецкий', 'Аркадий Коваль', 'Леонид Куравлёв']",['8.2'],,,,,['Игорь Визгин'],,
['Русский'],['Нет'],[],['2014'],['Россия'],['драма'],['«Успеет ли он спасти всех»'],['Юрий Быков'],['Юрий Быков'],"['Алексей Учитель, Кира Саксаганская, Елена Быстрова, ...']",['Кирилл Клепалов'],['Юрий Быков'],"['Ольга Погодина, Станислав Новак']",['Юрий Быков'],['$1 300 000'],,,,['4.3 тыс'],"['11 декабря 2014, «Премиум Фильм»']","['9 августа 2014, ...']","['22 января 2015, «CP Дистрибуция»']",['16+'],,['116 мин. / 01:56'],"['Дурак (2014)', '16+']","['Артём Быстров', 'Наталья Суркова', 'Юрий Цурило', 'Борис Невзоров', 'Кирилл Полухин', 'Александр Коршунов', 'Ольга Самошина', 'Дарья Мороз', 'Сергей Арцибашев', 'Елена Панова']",['8.1'],,['$15 554'],"['14 июля 2022, «Ten Letters»']",,,,
"['Русский, Английский']","['Русские, Английские']",[],['2000'],['США'],"['драма, биография']","['«Историю творят те, кто нарушает правила»']",['Джордж Тиллман мл.'],['Скотт Маршалл Смит'],"['Билл Бадалато, Роберт Тейтел, Билл Косби, ...']",['Энтони Б. Ричмонд'],['Марк Айшем'],"['Айвор Лесли Дилли, Лоуренс А. Хуббс, Сальвадор Перес мл., ...']","['Джон Картер, Дирк Уэстервелт']",['$32 000 000'],['$23 700 000'],['$48 818 921'],['+ $33 524 574 = $82 343 495'],['8.9 млн'],"['8 февраля 2001, «Гемини»']","['14 сентября 2000, ...']","['2 августа 2005, «Гемини-Фильм»']",['16+'],['R'],['129 мин. / 02:09'],"['Военный ныряльщик (2000)', 'Men of Honor16+']","['Роберт Де Ниро', 'Кьюба Гудинг мл.', 'Шарлиз Терон', 'Онжаню Эллис', 'Хэл Холбрук', 'Майкл Рапапорт', 'Пауэрс Бут', 'Дэвид Кит', 'Холт Маккэллани', 'Дэвид Конрад']",['8.1'],,,,,,,
"['Русский, Английский']","['Русские, Английские']",[],['2010'],"['Великобритания, США']","['драма, биография, история']","[""«It takes leadership to confront a nation's fear. It takes friendship to conquer your own»""]",['Том Хупер'],['Дэвид Сайдлер'],"['Эйн Каннинг, Эмиль Шерман, Гарет Унвин, ...']",['Дэнни Коэн'],['Александр Деспла'],"['Ив Стюарт, Дэвид Хиндл, Леон МакКарти, ...']",['Тарик Анвар'],['$15 000 000'],,['$135 453 143'],['+ $275 414 100 = $410 867 243'],['17.5 млн'],"['24 февраля 2011, «Каскад фильм»']","['6 сентября 2010, ...']","['7 апреля 2011, «CP-Digital»']",['16+'],['R'],['118 мин. / 01:58'],"['Король говорит! (2010)', ""The King's Speech16+""]","['Колин Фёрт', 'Джеффри Раш', 'Хелена Бонем Картер', 'Гай Пирс', 'Тимоти Сполл', 'Энтони Эндрюс', 'Майкл Гэмбон', 'Клэр Блум', 'Дерек Джекоби', 'Дженнифер Эль']",['8.0'],"['7 апреля 2011, «CP-Digital»']",['$1 681 032'],,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']","['Русские, Английские']",[],['1980'],['США'],"['фантастика, боевик, фэнтези, приключения']",['«The battle continues...»'],['Ирвин Кершнер'],"['Ли Брэкетт, Лоуренс Кэздан, Джордж Лукас']","['Джим Блум, Ховард Дж. Казанян, Гари Кертц, ...']",['Питер Сушицки'],['Джон Уильямс'],"['Норман Рейнольдс, Айвор Лесли Дилли, Гарри Ланж, ...']","['Т.М. Кристофер, Пол Хирш, Джордж Лукас, ...']",['$18 000 000'],,['$209 398 025'],['+ $190 685 234 = $400 083 259'],['98.2 млн'],,"['17 мая 1980, ...']","['9 декабря 2010, «Двадцатый Век Фокс СНГ»']",['12+'],['PG'],['124 мин. / 02:04'],"['Звёздные войны: Эпизод 5 — Империя наносит ответный удар (1980)', 'Star Wars: Episode V - The Empire Strikes Back12+']","['Марк Хэмилл', 'Харрисон Форд', 'Кэрри Фишер', 'Билли Ди Уильямс', 'Энтони Дэниелс', 'Дэвид Праус', 'Питер Мейхью', 'Кенни Бейкер', 'Фрэнк Оз', 'Алек Гиннесс']",['8.1'],,,,,,,
['Русский'],['Нет'],,['1985'],['СССР'],"['мелодрама, комедия']",['—'],['Геральд Бежанов'],"['Геральд Бежанов, Анатолий Эйрамджан']",,['Валентин Пиганов'],['Владимир Рубашевский'],"['Евгений Виницкий, Елена Храмова']",['Ирина Колотикова'],,,,,['44.9 млн'],,"['10 ноября 1985, ...']","['11 января 2011, «Парадиз»']",['16+'],,['81 мин. / 01:21'],"['Самая обаятельная и привлекательная (1985)', '16+']","['Ирина Муравьёва', 'Татьяна Васильева', 'Александр Абдулов', 'Леонид Куравлёв', 'Михаил Кокшенов', 'Людмила Иванова', 'Лариса Удовиченко', 'Владимир Носик', 'Александр Ширвиндт', 'Лев Перфилов']",['8.1'],,,,,['Галина Белинская'],,
,,,['1999'],['США'],"['мультфильм, фантастика, боевик, комедия, приключения, семейный']",['«It came from outer space!»'],['Брэд Бёрд'],"['Тим МакКэнлис, Брент Форрестер, Брэд Бёрд, ...']","['Эллисон Эббейт, Дес МакАнуфф, Пит Таунсенд, ...']",['Стивен Уилзбах'],['Майкл Кэмен'],"['Марк Уайтинг, Алан Боднер']",['Даррен Т. Холмс'],['$70 000 000'],,['$23 159 305'],,['4.6 млн'],,"['31 июля 1999, ...']","['26 апреля 2001, «Мост-Видео»']",['6+'],['PG'],['86 мин. / 01:26'],"['Стальной гигант (1999)', 'The Iron Giant6+']","['Эли Мариентал', 'Вин Дизель', 'Дженнифер Энистон', 'Гарри Конник мл.', 'Джеймс Гэммон', 'Клорис Личмен', 'Кристофер Макдональд', 'Джон Махони', 'М. Эммет Уолш', 'Джек Эйнджел']",['8.1'],,,,,,,
"['Русский (CPIG), Русский 5.1 (CPIG), Английский, Английский 5.1']","['Русские, Английские']",[],['1983'],['США'],"['фантастика, боевик, фэнтези, приключения']",['«The Saga Continues»'],['Ричард Маркуанд'],"['Лоуренс Кэздан, Джордж Лукас']","['Джим Блум, Ховард Дж. Казанян, Джордж Лукас, ...']","['Алан Хьюм, Алек Миллз']",['Джон Уильямс'],"['Норман Рейнольдс, Фред Хоул, Джеймс Л. Шоппе, ...']","['Шон Бартон, Т.М. Кристофер, Дуэйн Данэм, ...']",['$32 500 000'],,['$252 583 617'],['+ $122 009 457 = $374 593 074'],['94.1 млн'],,"['23 мая 1983, ...']","['9 декабря 2010, «Двадцатый Век Фокс СНГ»']",['12+'],['PG'],['131 мин. / 02:11'],"['Звёздные войны: Эпизод 6 — Возвращение Джедая (1983)', 'Star Wars: Episode VI - Return of the Jedi12+']","['Марк Хэмилл', 'Харрисон Форд', 'Кэрри Фишер', 'Билли Ди Уильямс', 'Энтони Дэниелс', 'Питер Мейхью', 'Себастьян Шоу', 'Иен Макдермид', 'Фрэнк Оз', 'Джеймс Эрл Джонс']",['8.2'],,,,,,,
['Русский'],['Нет'],,['1966'],['СССР'],"['криминал, комедия, мелодрама']","['«Было темно, тихо и пустынно... Неизвестный старался остаться незамеченным, и это ему удалось... А затем последовали события, которые и составляют эту загадочную и почти невероятную историю»']",['Эльдар Рязанов'],"['Эмиль Брагинский, Эльдар Рязанов']",,"['Анатолий Мукасей, Владимир Нахабцев']",['Андрей Петров'],"['Борис Немечек, Лев Семенов, Мариам Быховская']",['Екатерина Овсянникова'],,,,['$9 928'],['29 млн'],"['8 июля 2021, «Мосфильм», «Искусство кино»']","['25 мая 1966, ...']","['11 января 2011, «Парадиз»']",['12+'],,['94 мин. / 01:34'],"['Берегись автомобиля (1966)', '12+']","['Иннокентий Смоктуновский', 'Олег Ефремов', 'Любовь Добржанская', 'Анатолий Папанов', 'Ольга Аросева', 'Андрей Миронов', 'Георгий Жжёнов', 'Евгений Евстигнеев', 'Донатас Банионис', 'Любовь Соколова']",['8.2'],"['28 мая 2013, «Lizard Cinema Trade»']",['$10 100'],,,['Ефим Голынский'],,
,,,['1997'],['США'],"['фантастика, боевик, комедия, приключения']",['«Они защищают Землю от отбросов Вселенной»'],['Барри Зонненфельд'],"['Лоуэлл Каннингем, Эд Соломон']","['Лори МакДональд, Уолтер Ф. Паркс, Стивен Р. Молен, ...']",['Дональд Питермен'],['Дэнни Элфман'],"['Бо Уэлш, Том Даффилд, Мэри Е. Вогт, ...']",['Джим Миллер'],['$90 000 000'],,['$250 690 539'],['+ $338 700 000 = $589 390 539'],['53.3 млн'],"['16 сентября 1997, «Ист-Вест»']","['25 июня 1997, ...']","['20 июля 2007, «Columbia/Sony»']",['12+'],['PG-13'],['98 мин. / 01:38'],"['Люди в чёрном (1997)', 'Men in Black12+']","['Томми Ли Джонс', 'Уилл Смит', 'Линда Фиорентино', 'Винсент Д’Онофрио', 'Рип Торн', 'Тони Шэлуб', 'Шиван Фэллон', 'Майк Нуссбаум', 'Джон Грайз', 'Серхио Кальдерон']",['8.0'],"['25 сентября 2008, «Columbia/Sony»']",['$540 000'],,,,,
,,,['2019'],['США'],"['детектив, комедия, драма, криминал']",['«У каждого свой мотив»'],['Райан Джонсон'],['Райан Джонсон'],"['Рэм Бергман, Леопольд Хьюз, Райан Джонсон, ...']",['Стив Йедлин'],['Нэйтан Джонсон'],"['Дэвид Крэнк, Джереми Вудворд, Дженни Иген, ...']",['Боб Дюксе'],['$40 000 000'],,['$165 363 234'],['+ $147 534 686 = $312 897 920'],['1.4 млн'],"['28 ноября 2019, «Централ Партнершип»']","['7 сентября 2019, ...']",,['16+'],['PG-13'],['130 мин. / 02:10'],"['Достать ножи (2019)', 'Knives Out16+']","['Дэниэл Крэйг', 'Ана де Армас', 'Крис Эванс', 'Джейми Ли Кёртис', 'Майкл Шеннон', 'Дон Джонсон', 'Тони Коллетт', 'Лакит Стэнфилд', 'Кристофер Пламмер', 'Кэтрин Лэнгфорд']",['8.0'],,['$6 288 706'],,"['20 февраля 2020, «Централ Партнершип»']",,,
"['Русский, Русский 5.1, Английский']",['Русские'],[],['2007'],"['Великобритания, США']","['фэнтези, приключения, семейный']",['«Выжить суждено только одному»'],['Дэвид Йейтс'],"['Майкл Голденберг, Дж.К. Роулинг']","['Дэвид Баррон, Дэвид Хейман, Тим Льюис, ...']",['Славомир Идзяк'],['Николас Хупер'],"['Стюарт Крэйг, Эндрю Эклэнд-Сноу, Марк Бартоломью, ...']",['Марк Дэй'],['$150 000 000'],,['$292 004 738'],['+ $646 208 000 = $938 212 738'],['42.4 млн'],"['19 июля 2007, «Каро-Премьер»']","['28 июня 2007, ...']","['23 июня 2009, «Юниверсал Пикчерс Рус»']",['12+'],['PG-13'],['138 мин. / 02:18'],"['Гарри Поттер и Орден Феникса (2007)', 'Harry Potter and the Order of the Phoenix12+']","['Дэниэл Рэдклифф', 'Руперт Гринт', 'Эмма Уотсон', 'Гари Олдман', 'Рэйф Файнс', 'Майкл Гэмбон', 'Том Фелтон', 'Имелда Стонтон', 'Эванна Линч', 'Алан Рикман']",['7.8'],"['23 декабря 2008, «Юниверсал Пикчерс Рус»']",['$16 326 219'],,,,,
"['Русский (CPIG), Английский, Английский 5.1']","['Русские, Английские']",[],['2002'],['США'],"['мультфильм, комедия, приключения, семейный']",['«Отмороженные герои»'],"['Крис Уэдж, Карлос Салдана']","['Майкл Берг, Питер Экерман, Майкл Дж. Уилсон, ...']","['Лори Форте, Джон С. Донкин, Кристофер Меледандри']",,['Дэвид Ньюман'],['Брайан МакЭнти'],['Джон Карнокэн'],['$59 000 000'],['$35 000 000'],['$176 387 405'],['+ $206 869 731 = $383 257 136'],['30.4 млн'],"['21 августа 2002, «Гемини Киномир»']","['12 марта 2002, ...']","['27 января 2004, «Гемини-Фильм»']",['0+'],['PG'],['81 мин. / 01:21'],"['Ледниковый период (2002)', 'Ice Age0+']","['Рэй Романо', 'Джон Легуизамо', 'Дэнис Лири', 'Горан Вишнич', 'Джек Блэк', 'Седрик «Развлекатель»', 'Стивен Рут', 'Дидрих Бадер', 'Алан Тьюдик', 'Лорри Бэгли']",['8.0'],"['17 декабря 2009, «Двадцатый Век Фокс СНГ»']",['$1 575 579'],,,,,
"['Русский, Английский, Английский 5.1']",['Русские'],[],['2008'],"['Великобритания, США']","['драма, военный, история']",['«Взрослое детство войны»'],['Марк Херман'],"['Марк Херман, Джон Бойн']","['Дэвид Хейман, Рози Элисон, Марк Херман, ...']",['Бенуа Деломм'],['Джеймс Хорнер'],"['Мартин Чайлдс, Род МакЛин, Разван Раду, ...']",['Майкл Эллис'],['$12 500 000'],,['$9 046 156'],['+ $31 370 407 = $40 416 563'],['1.8 млн'],,"['28 августа 2008, ...']","['30 апреля 2009, «Уолт Дисней Компани СНГ»']",['12+'],['PG-13'],['94 мин. / 01:34'],"['Мальчик в полосатой пижаме (2008)', 'The Boy in the Striped Pyjamas12+']","['Эйса Баттерфилд', 'Джек Скэнлон', 'Дэвид Тьюлис', 'Вера Фармига', 'Эмбер Битти', 'Шила Хэнкок', 'Ричард Джонсон', 'Кара Хорган', 'Дэвид Хейман', 'Руперт Френд']",['8.2'],,,,,,,
['Русский'],['Нет'],[],['1984'],['СССР'],"['мелодрама, комедия']",['—'],['Марк Захаров'],"['Григорий Горин, Алексей Толстой']",,"['Владимир Нахабцев, Юрий Райский']",['Геннадий Гладков'],"['Виктор Юшин, Наталья Монева']",['Валентина Кулагина'],,,,,,,['30 декабря 1984'],"['11 января 2011, «Парадиз»']",['0+'],,['90 мин. / 01:30'],"['Формула любви (ТВ, 1984)', '0+']","['Нодар Мгалоблишвили', 'Александр Абдулов', 'Семен Фарада', 'Елена Валюшкина', 'Александр Михайлов', 'Александра Захарова', 'Елена Аминова', 'Татьяна Пельтцер', 'Леонид Броневой', 'Николай Скоробогатов']",['8.2'],"['3 февраля 2011, «Парадиз»']",,,,['Александра Демидова'],,
['Русский'],['Нет'],[],['2003'],"['Дания, Нидерланды, Швеция, Германия, Великобритания, Франция, Финляндия, Норвегия, Италия']","['триллер, драма, детектив']",['«Кто выживет в жутком городе?»'],['Ларс фон Триер'],['Ларс фон Триер'],"['Джиллиан Берри, Беттина Брокемпер, Лене Берглум, ...']",['Энтони Дод Мэнтл'],['—'],"['Петер Грант, Манон Расмуссен, Симона Грау']",['Молли Марлен Стенсгаард'],['DKK 10 000 000'],,['$1 535 286'],['+ $15 145 550 = $16 680 836'],['516.9 тыс'],"['26 июня 2003, «Централ Партнершип»']","['19 мая 2003, ...']","['2 февраля 2012, «Cinema Prestige»']",['18+'],['R'],['178 мин. / 02:58'],"['Догвилль (2003)', 'Dogville18+']","['Николь Кидман', 'Пол Беттани', 'Харриет Андерссон', 'Патриша Кларксон', 'Бен Газзара', 'Филип Бейкер Холл', 'Джереми Дэвис', 'Хлоя Севиньи', 'Стеллан Скарсгард', 'Лорен Бэколл']",['8.0'],,['$560 124'],"['22 ноября 2018, «Cinema Prestige»']",,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']","['Русские, Английские']",[],['2014'],"['США, Германия']","['комедия, приключения, детектив, криминал']",['—'],['Уэс Андерсон'],"['Стефан Цвейг, Уэс Андерсон, Хьюго Гиннесс']","['Уэс Андерсон, Джереми Доусон, Стивен Рейлс, ...']",['Роберт Д. Йоумен'],['Александр Деспла'],"['Адам Штокхаузен, Штефан О. Гесслер, Джералд Салливан, ...']",['Барни Пиллинг'],['€23 000 000'],,['$59 301 324'],['+ $113 635 617 = $172 936 941'],['1.4 млн'],"['13 марта 2014, «Двадцатый Век Фокс СНГ»']","['6 февраля 2014, ...']","['10 июля 2014, «Двадцатый Век Фокс СНГ»']",['16+'],['R'],['100 мин. / 01:40'],"['Отель «Гранд Будапешт» (2014)', 'The Grand Budapest Hotel16+']","['Рэйф Файнс', 'Тони Револори', 'Сирша Ронан', 'Эдриан Броуди', 'Уиллем Дефо', 'Эдвард Нортон', 'Матьё Амальрик', 'Харви Кейтель', 'Ф. Мюррэй Абрахам', 'Тильда Суинтон']",['7.9'],"['10 июля 2014, «Двадцатый Век Фокс СНГ»']",['$5 400 321'],,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1, Казахский, Казахский 5.1']","['Русские, Английские']",[],['2017'],['США'],"['фантастика, боевик, приключения, комедия']",['«Не ждали?»'],['Джеймс Ганн'],"['Джеймс Ганн, Дэн Абнетт, Энди Леннинг, ...']","['Виктория Алонсо, Луис Д’Эспозито, Кевин Файги, ...']",['Генри Брэхам'],['Тайлер Бейтс'],"['Скотт Чамблисс, Елена Альбанезе, Рэмси Эйвери, ...']","['Фред Раскин, Крэйг Вуд']",['$200 000 000'],,['$389 813 101'],['+ $473 942 950 = $863 756 051'],,"['4 мая 2017, «WDSSPR»']","['10 апреля 2017, ...']",,['16+'],['PG-13'],['136 мин. / 02:16'],"['Стражи Галактики. Часть 2 (2017)', 'Guardians of the Galaxy Vol. 216+']","['Крис Пратт', 'Зои Салдана', 'Дэйв Батиста', 'Вин Дизель', 'Брэдли Купер', 'Майкл Рукер', 'Карен Гиллан', 'Пом Клементьефф', 'Элизабет Дебики', 'Курт Рассел']",['7.7'],,['$28 359 322'],,"['8 августа 2017, «Уолт Дисней Компани СНГ»']",,,
"['Русский, Русский 5.1']",['Нет'],[],['2020'],['Россия'],"['военный, драма, история, боевик']",['«Они сражались за Москву»'],['Вадим Шмелев'],"['Вадим Шмелев, Игорь Угольников, Вячеслав Фетисов, ...']","['Игорь Угольников, Вадим Задорожный, Евгений Айзикович, ...']",['Андрей Гуркин'],['Юрий Потеенко'],"['Константин Пахотин, Сергей Стручев']","['Мария Сергеенкова, Екатерина Говсеева']",['₽ 420 000 000'],,,['$32 918'],['6.3 тыс'],"['4 ноября 2020, «Централ Партнершип»']","['13 ноября 2020, ...']",,['12+'],,['136 мин. / 02:16'],"['Подольские курсанты (2020)', '12+']","['Алексей Бардуков', 'Евгений Дятлов', 'Сергей Безруков', 'Любовь Константинова', 'Артём Губин', 'Игорь Юдин', 'Гурам Баблишвили', 'Дмитрий Соломыкин', 'Роман Мадянов', 'Екатерина Редникова']",['8.0'],,['$1 228 353'],"['5 мая 2022, «Наше Кино»']","['11 декабря 2020, «Централ Партнершип»']",,,
"['Русский, Русский 5.1, Английский, Английский 5.1, Казахский']","['Русские, Английские']",[],['2001'],['США'],"['мультфильм, фантастика, фэнтези, боевик, приключения, семейный']","['««...in a single day and night of misfortune, the island of Atlantis disappeared into the depths of the sea.» -- Plato, 360 B.C»']","['Гари Труздейл, Кирк Уайз']","['Тэб Мёрфи, Дэвид Рейнольдс, Кирк Уайз, ...']","['Кендра Хааланд, Дон Хан']",,['Джеймс Ньютон Ховард'],"['Мэтт Кодд, Рикардо Ф. Дельгадо, Джим Мартин, ...']",['Эллен Кенеши'],['$120 000 000'],,['$84 056 472'],['+ $101 997 253 = $186 053 725'],['15.6 млн'],"['20 декабря 2001, «Каскад фильм»']","['2 июня 2001, ...']","['26 апреля 2011, «Уолт Дисней Компани СНГ»']",['0+'],['PG'],['95 мин. / 01:35'],"['Атлантида: Затерянный мир (2001)', 'Atlantis: The Lost Empire0+']","['Кори Бертон', 'Клаудия Кристиан', 'Майкл Дж. Фокс', 'Джеймс Гарнер', 'Джон Махони', 'Фил Моррис', 'Леонард Нимой', 'Дон Новелло', 'Жаклин Обрадорс', 'Флоренс Стэнли']",['7.9'],"['9 июня 2015, «Уолт Дисней Компани СНГ»']",,,,,,
"['Русский, Русский 5.1, Английский']",['Русские'],[],['2010'],"['Великобритания, США']","['фэнтези, приключения, семейный']",['«Опасность повсюду»'],['Дэвид Йейтс'],"['Стивен Кловз, Дж.К. Роулинг']","['Дэвид Баррон, Дэвид Хейман, Дж.К. Роулинг, ...']",['Эдуарду Серра'],['Александр Деспла'],"['Стюарт Крэйг, Эндрю Эклэнд-Сноу, Марк Бартоломью, ...']",['Марк Дэй'],['£ 150 000 000'],,['$295 983 305'],['+ $664 300 000 = $960 283 305'],['37.5 млн'],"['19 ноября 2010, «Каро-Премьер»']","['11 ноября 2010, ...']","['14 апреля 2011, «CP-Digital»']",['16+'],['PG-13'],['146 мин. / 02:26'],"['Гарри Поттер и Дары Смерти: Часть I (2010)', 'Harry Potter and the Deathly Hallows: Part 116+']","['Дэниэл Рэдклифф', 'Руперт Гринт', 'Эмма Уотсон', 'Том Фелтон', 'Бонни Райт', 'Алан Рикман', 'Рэйф Файнс', 'Хелена Бонем Картер', 'Майкл Гэмбон', 'Брендан Глисон']",['7.9'],"['12 мая 2011, «CP-Digital»']",['$25 663 781'],,,,,
"['Русский (Reanimedia), Русский, Японский']","['Русские, Английские']",[],['1984'],['Япония'],"['аниме, мультфильм, фантастика, фэнтези, драма']","[""«Miyazaki's epic masterpiece»""]",['Хаяо Миядзаки'],"['Хаяо Миядзаки, Кадзунори Ито']","['Исао Такахата, Тору Хара, Митио Кондо, ...']","['Ясухиро Симидзу, Кодзи Сирагами, Юкимото Сюдо, ...']",['Дзё Хисаиси'],['Мицуки Накамура'],"['Наоки Канэко, Томоко Кида, Сёдзи Сакаи']",['$1 000 000'],,['$495 770'],['+ $1 720 214 = $2 215 984'],['910 тыс'],"['26 июля 2007, «RUSCICO»']","['11 марта 1984, ...']","['11 февраля 2010, «Новый Диск»']",['12+'],['PG'],['117 мин. / 01:57'],"['Навсикая из долины ветров (1984)', 'Kaze no tani no Naushika12+']","['Суми Симамото', 'Махито Цудзимура', 'Хисако Кёда', 'Горо Ная', 'Итиро Нагаи', 'Кохэй Мияути', 'Дзёдзи Янами', 'Минору Яда', 'Риоко Ёсида', 'Масако Сугая']",['8.1'],,['$72 900'],"['28 февраля 2019, «Пионер»']",,,,
"['Русский, Английский']",['Русские'],[],['2006'],['США'],"['мелодрама, комедия']",['—'],['Нэнси Майерс'],['Нэнси Майерс'],"['Брюс А. Блок, Нэнси Майерс, Дженнифер Итц, ...']",['Дин Канди'],['Ханс Циммер'],"['Джон Хатмэн, Дэн Уэбстер, Марлен Стюарт, ...']",['Джо Хатшинг'],['$85 000 000'],,['$63 224 849'],['+ $141 910 326 = $205 135 175'],['9.6 млн'],"['7 декабря 2006, «UIP»']","['29 ноября 2006, ...']","['30 сентября 2008, «Мьюзик-Трейд»']",['16+'],['PG-13'],['136 мин. / 02:16'],"['Отпуск по обмену (2006)', 'The Holiday16+']","['Кэмерон Диас', 'Кейт Уинслет', 'Джуд Лоу', 'Джек Блэк', 'Илай Уоллак', 'Эдвард Бёрнс', 'Руфус Сьюэлл', 'Миффи Энгелфилд', 'Эмма Притчард', 'Сара Пэриш']",['7.7'],"['17 августа 2010, «Юниверсал Пикчерс Рус»']",['$3 584 503'],,,,,
"['Русский (CPIG), Русский 5.1 (CPIG), Английский']","['Русские, Английские']",[],['1986'],"['Великобритания, США']","['ужасы, фантастика, боевик, триллер, приключения']",['«В некоторых местах Вселенной вы не одиноки...»'],['Джеймс Кэмерон'],"['Джеймс Кэмерон, Дэвид Гайлер, Уолтер Хилл, ...']","['Гордон Кэрролл, Дэвид Гайлер, Уолтер Хилл, ...']",['Эдриан Биддл'],['Джеймс Хорнер'],"['Питер Ламонт, Терри Эклэнд-Сноу, Кен Корт, ...']",['Рэй Лавджой'],['$18 500 000'],,['$85 160 248'],['+ $45 900 000 = $131 060 248'],['23 млн'],"['21 марта 1994, «Екатеринбург Арт»']","['14 июля 1986, ...']","['30 января 2007, «Двадцатый Век Фокс СНГ»']",['16+'],['R'],['137 мин. / 02:17'],"['Чужие (1986)', 'Aliens16+']","['Сигурни Уивер', 'Майкл Бин', 'Кэрри Хенн', 'Пол Райзер', 'Лэнс Хенриксен', 'Билл Пэкстон', 'Уильям Хоуп', 'Дженетт Голдстин', 'Эл Мэтьюз', 'Марк Ролстон']",['8.1'],,,,,,,
['Русский'],['Нет'],[],['2005'],"['США, Канада, Великобритания, Германия']","['триллер, драма, криминал']",['«Не тот номер. Не в том месте. Не в то время»'],['Пол Макгиган'],['Джейсон Смилович'],"['Кристофер Робертс, Киа Джем, Тайлер Митчелл, ...']",['Питер Сова'],['Джошуа Ральф'],"['Франсуа Сеген, Пьер Перро, Колумб Рэби, ...']",['Эндрю Хьюм'],['$27 000 000'],,['$22 495 466'],['+ $33 813 415 = $56 308 881'],['3.4 млн'],"['13 апреля 2006, «Парадиз»']","['24 февраля 2006, ...']","['25 декабря 2008, «Парадиз»']",['16+'],['R'],['110 мин. / 01:50'],"['Счастливое число Слевина (2005)', 'Lucky Number Slevin16+']","['Джош Хартнетт', 'Брюс Уиллис', 'Люси Лью', 'Морган Фриман', 'Бен Кингсли', 'Майкл Рубенфильд', 'Питер Аутербридж', 'Стэнли Туччи', 'Кевин Чэмберлин', 'Дориан Миссик']",['8.1'],,['$752 500'],,,,,
